X,Y
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,932
756,931
756,929
756,923
756,918
756,909
756,892
756,882
756,871
755,847
754,834
754,821
754,791
754,775
754,759
754,726
754,710
754,694
756,664
757,651
759,625
760,607
761,600
761,593
761,590
762,588
762,585
762,584
762,584
762,584
762,584
762,584
762,584
762,584
762,584
762,584
762,584
762,584
762,584
762,584
762,584
762,584
762,584
762,584
762,584
762,584
762,584
762,584
762,584
762,584
762,584
762,584
762,584
762,584
762,584
762,584
762,584
762,584
762,584
762,584
762,584
760,583
755,579
744,571
737,564
728,557
709,539
700,529
689,519
669,497
659,487
656,482
643,468
641,465
637,461
634,458
634,458
634,458
634,458
634,458
634,458
634,458
634,458
634,458
634,458
634,458
634,458
634,458
634,458
634,458
634,458
634,458
634,458
634,458
634,458
634,458
634,458
634,458
634,458
634,458
634,458
634,458
633,458
631,457
624,454
620,452
615,449
599,442
591,439
583,436
563,427
553,423
544,419
539,417
524,408
519,405
517,404
510,401
508,400
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
506,399
505,399
505,399
504,399
504,399
504,399
503,399
503,398
503,398
501,397
501,397
500,397
499,396
499,396
498,396
497,395
496,395
496,395
494,394
493,394
492,393
491,392
490,392
489,392
488,391
487,391
487,391
485,390
485,390
484,390
483,389
483,389
482,389
482,389
481,389
481,389
481,389
481,389
481,389
481,389
481,389
481,389
481,389
481,389
481,389
481,389
481,389
481,389
481,389
481,389
481,389
481,389
481,389
481,389
481,389
481,389
481,389
481,389
481,389
481,389
481,389
481,389
481,389
481,389
481,389
481,389
481,389
481,389
480,389
478,387
476,387
474,386
469,383
467,381
463,380
458,376
455,374
451,372
444,368
440,365
436,362
427,356
423,353
419,350
412,343
410,342
407,339
403,335
401,334
400,332
398,331
398,330
398,330
398,330
397,330
397,330
397,330
397,330
397,330
397,330
397,330
397,330
397,330
397,330
397,330
397,330
397,330
397,330
397,330
397,330
397,330
397,330
397,330
397,330
397,330
397,330
397,330
392,328
389,326
385,323
375,317
370,314
366,312
357,307
353,306
349,305
346,304
340,302
338,301
334,299
328,297
326,296
324,295
320,293
317,292
316,291
313,289
311,289
311,288
310,288
310,288
310,288
309,288
308,287
307,287
306,287
304,286
303,286
302,285
299,285
298,284
297,284
296,284
296,284
296,283
295,283
295,283
295,283
295,283
295,283
295,283
294,283
294,283
293,283
291,282
290,282
288,281
286,281
285,281
285,281
284,281
284,281
283,281
283,281
283,281
283,281
283,281
283,281
283,282
285,284
286,285
287,286
289,287
290,287
290,288
291,288
291,288
291,289
291,289
291,289
291,289
291,289
291,289
291,289
291,289
291,289
291,289
291,289
291,289
291,289
291,289
291,289
291,289
291,289
291,289
291,289
291,289
291,289
291,289
291,289
291,289
291,289
291,289
291,289
291,289
291,289
291,289
291,289
291,289
291,289
291,289
291,289
291,289
291,289
291,289
291,289
291,289
291,289
291,289
291,289
291,289
291,289
291,289
291,289
291,289
