X,Y
756,933
756,933
756,933
756,933
756,930
756,919
756,911
756,900
760,872
762,858
764,843
770,824
773,812
776,802
782,785
785,777
787,770
789,765
792,755
794,752
795,746
796,741
797,738
798,734
799,732
799,729
801,724
802,720
803,715
806,703
808,691
810,682
812,663
813,652
815,641
816,629
817,605
817,599
818,589
819,571
819,564
819,562
819,555
819,553
819,551
819,551
819,551
819,551
819,551
819,551
819,551
819,551
819,551
819,551
819,551
819,551
819,551
819,551
819,551
819,551
819,551
819,551
819,551
819,551
819,551
819,551
819,551
819,550
809,535
799,520
786,500
739,425
718,388
695,346
687,327
664,278
660,269
657,262
642,231
642,231
642,231
642,231
642,231
642,231
642,231
642,231
642,231
642,231
642,231
642,231
642,231
642,231
642,231
642,231
642,231
641,231
636,231
630,233
612,235
601,237
576,241
519,248
489,251
459,256
429,259
393,264
386,265
369,267
369,267
369,267
369,267
369,267
369,267
369,267
369,267
369,267
369,267
369,267
369,267
369,267
369,267
369,267
369,267
369,267
369,267
369,267
369,267
369,267
365,267
362,267
360,267
352,267
347,267
343,267
337,267
333,267
330,267
326,267
322,267
320,266
318,266
314,265
312,264
311,263
310,263
307,261
306,261
305,260
303,259
302,259
302,259
302,258
302,258
301,258
301,258
301,258
301,258
301,258
301,258
301,258
301,258
301,258
301,258
301,258
301,258
304,258
306,258
308,258
315,260
320,261
324,262
329,264
340,268
346,270
351,272
362,275
367,277
370,277
376,279
381,280
384,281
386,281
388,282
388,282
389,282
389,282
389,282
389,282
384,282
379,282
373,282
361,278
354,276
348,274
339,272
336,270
332,269
329,268
325,266
324,266
322,265
320,264
320,264
320,264
320,264
320,264
320,264
320,264
320,264
320,264
320,264
320,264
320,264
320,264
320,264
320,264
320,264
320,264
320,264
320,264
320,264
320,264
320,264
320,264
320,264
320,264
320,264
320,264
320,264
318,264
311,264
304,263
300,262
287,258
282,257
280,256
272,252
269,251
268,250
266,249
265,248
264,248
264,248
262,247
261,246
259,246
259,245
255,244
253,244
252,243
250,242
250,242
249,242
248,241
247,241
246,240
245,240
243,237
242,236
241,234
239,232
239,231
238,230
237,228
236,228
236,227
235,227
234,226
234,226
234,226
233,226
232,226
231,226
229,226
228,226
227,226
226,226
225,226
224,226
223,226
223,226
223,226
223,226
223,226
223,226
223,226
223,226
223,226
223,226
223,226
223,226
223,226
223,226
223,226
223,226
223,226
223,226
223,226
223,226
223,226
223,226
223,226
223,226
223,226
223,226
223,226
223,226
223,226
223,226
223,226
223,226
223,226
223,226
223,226
223,226
223,226
223,226
223,226
223,226
223,226
223,226
223,226
223,226
223,226
223,226
223,226
223,226
223,226
223,226
223,226
223,226
223,226
223,226
223,226
223,226
223,226
223,226
223,226
223,226
223,226
223,226
223,226
223,226
223,226
223,226
223,226
223,226
223,226
223,226
223,226
