X,Y
759,939
759,939
759,939
759,939
759,939
759,939
759,939
759,939
759,939
759,939
759,939
759,939
759,939
759,939
759,939
759,939
759,939
759,939
759,939
759,939
759,939
759,939
759,939
759,939
759,939
759,939
759,939
759,939
759,939
759,939
759,939
759,939
759,939
759,939
759,939
759,939
759,939
759,939
759,939
759,939
759,939
759,939
759,939
759,939
759,939
759,939
759,939
759,939
759,939
759,939
759,939
759,939
759,939
759,939
759,939
759,939
759,939
759,939
759,939
759,939
759,939
759,939
759,939
759,939
759,939
759,939
759,939
759,939
759,939
759,939
759,939
759,939
759,939
759,936
759,912
759,888
759,869
758,824
757,794
755,762
753,683
753,642
753,604
753,553
757,503
758,496
760,481
763,462
764,455
764,453
764,449
765,444
766,443
766,442
766,441
766,441
766,441
766,441
766,441
766,441
766,441
766,441
766,441
766,441
766,441
766,441
766,441
766,441
766,441
766,441
766,441
766,441
766,441
766,437
770,432
777,425
793,411
811,397
834,379
885,347
913,330
925,325
968,304
975,301
980,300
994,292
1002,288
1002,288
1002,288
1002,288
1002,288
1002,288
1002,288
1002,288
1002,288
1002,288
1002,288
1002,288
1002,288
1002,288
1002,293
1009,300
1015,303
1020,304
1052,308
1074,309
1099,309
1129,309
1137,309
1137,309
1137,309
1137,309
1137,309
1137,309
1137,309
1137,309
1137,309
1137,309
1137,309
