X,Y
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,932
756,932
756,932
756,931
756,930
756,928
755,926
755,923
755,921
754,919
754,915
754,912
754,908
754,896
754,888
754,877
757,852
759,837
762,823
767,795
772,766
780,721
781,708
782,696
783,672
783,661
783,650
783,626
783,615
782,603
781,587
780,577
779,567
778,552
777,545
777,539
777,537
777,530
777,530
777,530
777,530
777,530
777,530
777,530
777,530
777,530
777,530
777,530
777,530
777,530
777,530
777,530
777,530
777,530
772,530
766,530
758,530
722,526
689,517
652,505
561,458
515,429
496,414
446,373
436,364
419,350
405,339
405,339
405,339
405,339
405,339
405,339
405,339
405,339
405,339
405,339
405,339
405,339
405,339
399,337
393,332
385,327
369,318
361,313
354,309
335,297
324,290
319,287
303,277
301,276
297,273
291,269
288,269
287,267
283,266
280,265
278,265
272,261
269,259
265,255
262,252
257,247
254,244
252,242
249,238
247,237
245,235
242,233
240,232
237,229
234,228
232,226
230,225
227,223
227,222
226,221
225,221
225,221
225,221
225,221
225,221
225,221
225,221
225,221
225,221
225,221
225,221
225,221
225,221
225,221
225,221
225,221
