X,Y
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,930
756,927
756,924
759,909
761,901
763,890
769,848
772,826
773,801
778,746
782,595
782,567
780,510
780,497
780,473
780,450
780,414
780,400
780,385
780,360
780,348
780,343
778,325
777,322
776,317
776,317
776,317
776,317
776,317
776,317
776,317
776,317
776,317
776,317
776,317
776,317
776,317
776,317
776,317
776,317
774,317
751,323
735,324
701,325
607,316
554,303
532,295
477,279
467,276
445,272
427,269
420,269
420,269
420,269
420,269
420,269
420,269
420,269
420,269
420,269
420,269
420,269
420,269
420,269
420,269
420,269
414,269
407,269
398,269
380,269
370,269
360,268
352,266
319,258
304,254
291,250
275,245
266,242
259,240
251,237
247,236
245,235
245,235
245,235
245,235
245,235
245,235
245,235
245,235
245,235
245,235
245,235
245,235
245,235
245,235
245,235
244,235
242,235
240,235
236,235
236,235
235,235
234,235
234,235
233,235
232,235
232,234
232,234
231,233
231,233
231,233
231,232
231,232
231,232
231,231
231,231
231,230
231,230
231,230
231,230
231,230
231,230
231,230
231,230
231,230
231,230
231,230
231,230
231,230
231,230
231,230
231,230
231,230
231,230
231,230
231,230
231,230
231,230
