X,Y
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,932
756,931
756,929
756,929
756,928
756,927
756,926
756,926
756,925
756,924
756,922
756,920
756,919
756,918
755,916
755,915
755,914
755,914
755,912
755,911
754,909
754,904
753,901
750,883
749,877
748,871
746,860
744,853
743,842
741,823
741,814
739,789
739,771
739,762
739,754
741,740
742,733
746,722
749,716
758,698
763,691
776,675
794,658
814,639
839,620
875,591
889,582
930,561
960,552
977,548
1001,543
1013,540
1031,537
1039,535
1046,534
1050,533
1052,533
1052,533
1052,533
1052,533
1052,533
1052,533
1052,533
1052,533
1052,533
1052,533
1052,533
1052,533
1052,533
1052,533
1052,533
1052,533
1053,533
1064,523
1073,518
1082,511
1117,493
1145,480
1206,457
1236,447
1275,437
1297,432
1320,426
1333,423
1345,420
1362,414
1369,410
1376,406
1387,397
1391,392
1396,386
1403,375
1405,370
1410,359
1412,353
1414,348
1415,337
1416,332
1416,328
1416,321
1416,318
1412,312
1411,311
1406,305
1405,303
1402,296
1402,293
1401,290
1401,282
1401,278
1401,272
1402,262
1402,257
1403,251
1404,239
1404,234
1404,233
1404,226
1404,224
1403,222
1401,221
1400,221
1396,220
1394,220
1392,220
1388,220
1386,220
1383,220
1377,220
1372,219
1369,218
1366,217
1362,217
1359,216
1357,216
1352,216
1352,216
1352,216
1352,216
1352,216
1352,216
1352,216
1352,216
1352,216
1352,216
1352,216
1352,216
1352,216
1352,216
1352,216
1352,216
1352,216
1352,216
1352,216
1349,216
1346,216
1341,216
1338,216
1335,216
1333,216
1331,216
1325,216
1324,216
1321,216
1318,216
1317,216
1315,216
1313,216
1312,216
1311,216
1310,217
1309,218
1309,218
1308,218
1307,219
1306,219
1306,219
1305,219
1304,219
1304,220
1303,220
1301,220
1300,221
1299,221
1298,222
1298,222
1296,223
