X,Y
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,981
755,979
755,978
755,974
755,972
755,970
755,959
754,954
754,948
753,941
752,927
751,921
751,914
751,906
751,902
751,898
751,893
751,891
751,890
751,887
751,886
751,884
751,882
751,876
751,873
751,870
751,862
751,859
751,854
753,843
754,837
756,826
759,814
761,805
763,798
768,784
770,777
772,771
781,747
786,736
788,731
792,722
794,717
795,713
797,708
798,706
798,706
798,706
798,706
798,706
798,706
798,706
798,706
798,706
798,706
798,706
798,706
798,706
798,706
798,706
798,706
798,706
798,706
798,706
798,706
798,706
798,706
798,706
798,706
798,706
798,706
798,706
798,706
798,706
798,706
798,706
798,703
798,696
796,673
795,656
792,624
789,579
787,552
786,524
785,467
785,438
785,426
786,385
787,377
790,364
791,360
791,360
791,360
791,360
791,360
791,360
791,360
791,360
791,360
791,360
791,360
791,360
791,360
791,360
791,360
791,360
791,360
791,360
791,360
791,360
791,360
791,360
790,355
787,344
785,336
783,328
776,292
775,283
770,249
768,219
766,200
766,184
766,155
766,149
766,140
766,130
767,126
767,123
767,123
767,123
767,123
767,123
767,123
767,123
767,123
767,123
767,123
767,123
767,123
767,123
767,123
767,123
767,123
767,123
767,120
766,117
765,109
764,105
764,102
763,95
762,92
761,90
759,83
758,80
757,78
755,73
754,71
753,70
752,68
751,66
750,65
750,64
749,63
748,62
748,62
747,61
746,60
745,60
745,59
743,57
743,57
742,56
741,55
741,54
740,54
740,52
739,52
739,51
739,49
738,49
738,48
738,48
737,47
737,47
737,47
737,46
737,46
737,45
737,45
736,45
736,45
736,44
736,44
736,44
736,43
736,43
736,43
736,42
736,41
736,41
736,40
736,40
736,40
736,40
736,40
736,40
736,40
736,40
736,40
736,40
736,40
736,40
736,40
736,40
736,40
736,40
736,40
736,40
736,40
736,40
736,40
736,40
736,40
736,40
736,40
736,40
736,40
736,40
736,40
736,40
736,40
736,40
736,40
736,40
736,39
736,39
736,39
736,39
736,39
736,39
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,38
736,37
736,37
736,36
736,34
736,34
736,33
736,33
736,33
736,32
736,32
736,32
736,32
736,31
736,31
736,31
736,31
736,31
736,31
736,30
736,30
736,30
736,30
736,30
736,30
736,30
736,30
736,30
736,30
736,30
736,30
736,30
736,30
736,30
736,30
736,30
736,30
736,29
736,28
736,28
736,27
736,26
736,26
736,25
736,25
736,24
736,24
736,23
736,23
736,22
736,20
736,20
736,20
736,19
736,18
736,18
736,17
736,17
736,16
736,16
736,15
736,15
736,14
736,13
736,12
736,11
737,10
737,9
737,9
737,8
737,8
737,8
737,8
737,8
737,8
737,8
737,8
737,8
737,8
737,8
737,8
737,8
737,8
737,8
737,8
737,8
737,8
737,8
737,9
737,9
737,9
737,9
737,10
737,10
737,10
737,10
737,11
737,11
737,12
737,12
737,12
737,12
737,13
738,13
738,13
738,14
738,14
738,14
738,14
738,14
738,15
738,15
738,15
738,16
738,16
738,17
738,18
738,19
738,19
738,20
738,21
738,22
738,22
738,23
738,24
738,25
738,26
738,27
738,28
738,31
738,32
738,33
738,35
738,36
738,37
738,38
738,39
738,40
738,40
738,41
738,42
738,42
738,43
738,43
738,43
738,44
738,45
738,45
738,46
738,47
738,48
738,49
738,52
738,55
738,57
738,67
737,73
735,89
733,99
731,111
725,138
722,153
718,169
712,189
708,200
705,210
703,216
701,220
701,222
700,223
700,223
700,223
699,224
699,224
699,224
699,224
699,224
699,224
699,224
699,224
699,224
699,224
699,224
699,224
699,224
699,224
699,224
699,224
699,224
699,224
699,224
699,225
693,231
688,234
681,237
653,247
628,255
599,262
539,276
526,278
501,283
460,288
455,289
443,289
430,291
425,292
421,292
415,295
415,295
415,295
415,295
415,295
415,295
415,295
415,295
415,295
415,295
415,295
415,295
415,295
415,295
412,295
407,295
396,296
391,296
386,296
382,296
375,296
372,296
365,296
355,296
353,296
349,296
343,296
340,295
337,295
332,295
330,295
328,295
326,294
324,294
323,294
321,293
319,293
318,293
316,293
315,293
314,293
311,293
310,293
309,293
308,293
305,292
304,292
304,292
302,292
301,292
301,292
300,292
300,292
299,292
299,292
299,292
298,292
298,292
297,292
297,292
296,292
296,292
295,292
294,292
293,292
293,292
292,292
291,293
291,293
291,293
290,293
290,293
290,293
290,293
290,293
290,293
290,293
290,293
290,293
290,293
290,293
290,293
290,293
290,293
290,293
290,293
290,293
290,293
290,293
290,293
290,293
290,293
290,293
290,293
290,293
290,293
