X,Y
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,923
756,913
756,903
761,874
763,855
769,823
775,771
777,741
779,684
781,624
783,581
784,541
784,501
784,426
782,392
779,379
771,334
768,314
765,297
762,280
759,247
758,232
758,226
758,214
758,208
758,205
759,200
759,200
760,200
760,200
760,200
760,200
760,200
760,200
760,200
760,200
760,200
759,200
755,200
748,201
705,211
688,214
631,225
572,236
532,243
516,246
476,252
456,255
451,255
440,256
440,256
440,256
440,256
440,256
440,256
440,256
440,256
440,256
440,256
440,256
440,256
440,256
440,256
439,256
430,256
409,256
396,256
384,256
364,256
345,255
328,253
322,252
298,247
295,246
289,244
269,238
267,237
266,236
263,235
261,234
261,234
259,233
259,233
259,233
259,233
259,233
258,233
256,232
253,231
251,231
247,230
242,230
240,229
238,229
235,229
234,229
234,229
234,229
234,229
234,229
234,229
234,229
234,229
233,229
233,229
233,229
233,229
233,229
233,229
233,229
233,229
233,229
233,229
233,229
233,229
233,229
233,229
233,229
233,229
233,229
233,229
