X,Y
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,929
756,923
756,917
756,902
756,893
756,888
756,865
756,856
756,847
759,828
761,819
763,808
766,792
768,782
770,773
774,755
776,747
778,739
781,723
786,699
793,659
793,659
796,637
798,622
800,614
801,606
804,592
805,586
806,582
808,573
809,570
810,566
811,564
811,564
811,564
811,564
811,564
811,564
811,564
811,564
811,564
811,564
811,564
811,564
811,564
811,564
811,564
811,564
811,564
811,564
811,564
811,564
811,564
811,564
811,564
811,564
811,564
811,564
811,564
811,564
811,564
811,560
812,555
813,551
818,540
823,530
825,526
838,510
843,505
847,503
867,489
879,483
890,476
915,461
928,452
941,443
978,411
992,396
999,388
1024,361
1029,357
1038,348
1045,343
1048,341
1051,340
1051,340
1051,340
1051,340
1051,340
1051,340
1051,340
1051,340
1051,340
1051,340
1051,340
1051,340
1051,340
1051,340
1061,334
1072,326
1083,320
1096,314
1134,298
1160,289
1184,283
1218,273
1235,269
1241,266
1256,261
1262,258
1267,256
1270,255
1271,254
1272,254
1273,254
1273,253
1273,253
1273,253
1274,253
1274,253
1274,253
1274,253
1274,253
1274,254
1274,254
1274,254
1274,254
1274,254
1274,254
1274,250
1274,249
1275,247
1277,244
1278,243
1279,242
1280,241
1280,241
1281,240
1281,240
1281,240
1282,239
1282,238
1283,237
1283,237
1284,236
1284,236
1284,235
1285,235
1285,235
1285,235
1285,235
1285,235
1285,235
1285,235
1285,235
1285,235
1285,235
1285,235
1285,235
1285,235
1285,235
1285,235
1285,235
1285,235
1285,235
