X,Y
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,932
756,916
756,908
756,900
757,883
758,877
760,863
763,846
765,837
767,829
772,817
774,813
775,808
777,805
779,800
780,797
780,795
781,791
782,790
782,789
782,788
782,788
782,787
782,787
782,787
782,786
782,784
782,782
783,779
785,770
786,765
789,754
791,748
792,746
792,746
792,746
792,746
792,746
792,746
792,746
792,746
792,746
792,746
792,746
792,746
792,746
792,746
792,739
792,719
794,706
795,689
802,639
806,603
813,565
831,486
843,449
856,415
889,357
905,336
914,329
944,305
958,299
971,295
983,293
1006,293
1019,293
1032,296
1060,310
1075,319
1090,329
1099,337
1106,343
1111,348
1118,358
1118,361
1118,367
1108,375
1099,381
1088,386
1056,399
1042,402
1027,403
1005,399
996,392
984,374
981,335
981,310
986,283
999,255
1042,189
1070,163
1101,141
1168,109
1203,99
1217,97
1270,94
1292,94
1309,97
1339,116
1350,128
1358,141
1369,166
1369,177
1369,186
1354,210
1336,219
1336,219
1336,219
1336,219
1336,219
1336,219
1336,219
1336,219
1336,219
1336,219
1336,219
1336,219
1336,219
1337,215
1341,209
1348,202
1379,177
1411,155
1452,129
1511,89
1511,76
1511,75
1511,72
1511,73
1511,82
1511,86
1511,105
1511,115
1511,124
1511,145
1511,157
1511,180
1511,205
1507,233
1500,251
1477,285
1469,291
1454,304
1421,324
1406,329
1399,331
1379,333
1373,333
1363,333
1358,327
1350,300
1349,280
1349,255
1351,194
1359,160
1369,127
1400,69
1419,45
1491,5
1511,0
1511,0
1511,9
1511,13
1511,16
1511,16
1511,17
1511,17
1511,17
1511,18
1511,18
1511,18
1511,18
1511,18
1511,18
1511,18
1511,18
1511,18
1511,18
1511,18
1511,18
1511,18
1511,18
1511,18
1511,18
1511,18
1511,18
1511,18
1511,18
1511,18
1511,18
1511,19
1511,24
1511,26
1511,31
1511,44
1511,53
1511,64
1511,88
1511,100
1511,117
1511,134
1506,151
1499,160
1480,176
1454,191
1445,194
1423,197
1419,197
1409,197
1404,197
1399,197
1393,197
1392,197
1386,203
1385,205
1382,211
1380,213
1377,217
1376,218
1375,220
1374,221
1374,221
1374,222
1374,224
1374,225
1374,226
1374,229
1374,231
1374,232
1374,233
1374,233
1374,233
1374,234
1374,235
1374,235
1373,237
1372,241
1371,242
1370,245
1369,246
1369,246
1368,246
1367,243
1367,240
1367,235
1367,226
1370,218
1374,213
1382,205
1389,199
1395,194
1402,190
1406,186
1408,185
1412,182
1414,181
1415,181
1416,180
1417,180
1419,179
1422,177
1424,177
1427,176
1433,175
1435,175
1440,175
1445,175
1449,175
1452,175
1458,174
1461,174
1465,173
1471,171
1473,171
1476,170
1481,169
1483,168
1485,168
1488,167
1490,167
1491,167
1493,166
1494,166
1494,166
1494,166
1494,166
1494,166
1494,166
1494,166
1494,166
1494,166
1494,166
1494,166
1494,166
1494,166
1494,166
1494,166
1494,166
