X,Y
757,936
757,936
757,936
757,936
757,936
757,936
757,936
757,936
757,936
757,936
757,936
757,936
757,936
757,936
757,929
757,912
757,905
757,881
757,870
757,859
762,822
764,813
766,796
770,776
772,764
775,754
777,745
778,741
778,738
779,735
779,734
780,734
780,733
780,733
780,733
780,733
780,732
780,732
780,731
780,730
780,730
780,729
780,729
780,729
780,728
780,728
780,727
780,725
780,723
780,723
780,721
781,719
781,718
781,718
781,717
781,717
781,717
781,716
782,714
782,711
784,709
787,701
792,693
796,685
814,652
824,633
837,607
865,551
878,521
891,493
905,457
912,437
914,431
918,414
918,414
918,414
918,414
918,414
918,414
918,414
918,414
918,414
918,414
918,414
918,414
918,414
918,414
918,413
918,405
925,367
934,343
943,316
977,223
1006,155
1041,85
1122,-45
1225,-154
1300,-191
1334,-197
1393,-196
1419,-183
1442,-167
1478,-129
1491,-107
1500,-86
1509,-38
1509,-13
1503,36
1476,82
1455,105
1408,140
1396,144
1373,154
1336,162
1329,162
1307,162
1291,155
1279,141
1273,126
1264,59
1264,19
1264,-25
1290,-134
1309,-188
1344,-256
1369,-291
1380,-301
1418,-334
1435,-342
1441,-343
1457,-347
1463,-348
1467,-348
1472,-349
1473,-349
1473,-349
1473,-353
1472,-355
1470,-359
1466,-367
1465,-369
1463,-372
1461,-377
1460,-378
1460,-379
1460,-379
1460,-380
1460,-380
1460,-380
1460,-380
1460,-380
1460,-379
1460,-378
1460,-378
1459,-378
1459,-377
1459,-377
1459,-377
1459,-377
1459,-378
1458,-383
1458,-407
1458,-424
1458,-444
1471,-525
1474,-538
1478,-548
1487,-565
1487,-565
1487,-565
1487,-565
1487,-565
1487,-565
1487,-565
1487,-565
1487,-565
1487,-565
1487,-565
1487,-565
1487,-565
1487,-565
1487,-565
1487,-565
1476,-554
1475,-553
1474,-553
1472,-556
1472,-587
1472,-654
1485,-724
1523,-918
1547,-1033
1574,-1080
1600,-1080
1642,-1080
1652,-1080
1681,-1080
1696,-1080
1700,-1080
1710,-1080
1710,-1080
1710,-1080
1710,-1080
1710,-1080
1710,-1080
1710,-1080
1710,-1080
1710,-1080
1710,-1080
1710,-1080
1710,-1080
1710,-1080
1705,-1074
1703,-1073
1699,-1073
1696,-1080
1695,-1080
1693,-1080
1693,-1080
1701,-1080
1716,-1080
1760,-1080
1788,-1080
1803,-1080
1862,-1080
1873,-1080
1882,-1080
1903,-1080
1913,-1080
1921,-1080
1932,-1080
1935,-1080
1938,-1074
1943,-1059
1944,-1048
1946,-1036
1948,-1011
1950,-1000
1951,-995
1955,-977
1958,-963
1960,-954
1965,-919
1966,-882
1966,-848
1965,-788
1961,-748
1959,-731
1956,-719
1952,-689
1949,-676
1945,-657
1941,-639
1940,-631
1938,-623
1937,-612
1934,-590
1933,-576
1931,-564
1927,-547
1924,-538
1916,-522
1898,-496
1888,-483
1881,-476
1858,-447
1845,-432
1833,-421
1817,-409
1801,-402
1794,-401
1780,-406
1774,-415
1767,-424
1764,-434
1762,-440
1761,-444
1761,-450
1761,-450
1761,-450
1761,-450
1761,-450
1761,-450
1761,-450
1761,-450
1761,-450
1761,-450
1761,-450
1761,-450
1761,-450
1761,-450
1761,-450
1761,-450
1761,-450
1761,-450
1761,-450
1757,-443
1748,-433
1725,-406
1700,-374
1672,-334
1633,-279
1624,-266
1616,-256
1598,-236
1590,-228
1585,-223
1578,-219
1577,-219
1576,-222
1576,-222
1576,-222
1576,-222
1576,-222
1576,-222
1576,-222
1576,-222
1576,-222
1576,-222
1576,-222
1576,-222
1576,-222
1576,-222
1576,-222
1575,-220
1569,-213
1564,-207
1559,-201
1547,-186
1522,-152
1508,-132
1483,-90
1471,-68
1451,-23
1444,-1
1427,72
1420,119
1420,124
1419,139
1419,141
1419,143
1420,144
1420,145
1420,145
1420,146
1420,146
1420,147
1420,149
1420,151
1420,153
1420,155
1421,158
1422,161
1422,163
1424,168
1426,172
1431,181
1435,186
1438,192
1443,202
1445,207
1447,213
1448,216
1449,221
1450,222
1450,223
1450,223
1450,222
1450,222
1450,222
1450,222
1450,222
1450,222
1450,222
1450,222
1450,222
1450,222
1450,222
1450,222
1450,222
1450,222
1451,214
1453,207
1454,206
1454,205
1454,204
1454,204
1454,204
1446,204
1441,206
1434,207
1426,207
1414,207
1406,205
1393,199
1387,196
1382,194
1375,192
1369,189
1366,188
1362,184
1358,178
1358,173
1358,157
1358,147
1362,136
1368,124
1382,106
1391,98
1400,92
1422,82
1434,79
1446,75
1470,70
1475,70
1485,68
1501,66
1508,66
1511,66
1511,69
1511,73
1511,86
1511,99
1511,159
1503,200
1491,245
1455,359
1433,421
1410,481
1363,584
1353,606
1333,644
1326,659
1298,711
1294,718
1285,734
1273,754
1269,761
1268,763
1262,770
1260,772
1259,774
1256,775
1255,775
1254,775
1253,775
1252,775
1252,775
1252,775
1252,775
1252,774
1252,770
1252,750
1252,736
1253,716
1267,665
1278,634
1291,604
1313,561
1328,540
1341,524
1355,515
1369,509
1375,509
1388,528
1390,548
1391,573
1390,645
1374,714
1367,733
1335,803
1326,816
1309,839
1288,862
1276,872
1267,878
1252,882
1243,882
1239,881
1226,850
1220,810
1218,770
1218,725
1223,650
1235,607
1250,571
1287,526
1307,514
1327,508
1370,507
1380,509
1399,516
1415,525
1450,560
1459,582
1467,606
1476,657
1476,669
1476,693
1475,716
1474,720
1472,727
1468,736
1467,738
1465,738
1465,735
1464,709
1464,689
1464,668
1471,631
1478,610
1482,604
1496,583
1502,579
1507,576
1511,575
1511,575
1511,576
1511,579
1511,582
1511,584
1511,586
1511,588
1511,589
1511,589
1511,589
1511,588
1511,584
1511,571
1511,563
1511,552
1511,541
1511,514
1511,509
1511,499
1511,490
1511,483
1511,482
1511,482
1511,485
1511,492
1511,500
1511,519
1507,530
1500,541
1483,563
1473,571
1463,579
1447,588
1438,592
1430,596
1422,598
1417,599
1414,599
1411,600
1409,600
1409,600
1408,600
1408,600
1407,600
1407,599
1406,598
1406,598
1405,597
1405,597
1404,597
1403,598
1402,603
1400,607
1399,611
1399,611
1399,611
1399,611
1399,611
