X,Y
779,706
779,706
777,691
777,667
776,653
776,637
776,616
776,606
776,597
776,587
776,582
776,579
776,577
776,577
776,577
776,577
776,577
776,577
776,577
776,577
776,577
776,577
776,577
776,577
776,577
776,577
776,577
776,577
776,577
776,577
776,577
776,577
776,577
776,577
776,577
776,577
776,577
776,577
776,575
776,573
776,571
775,568
773,559
771,553
769,545
764,522
760,508
752,482
742,457
735,439
727,424
719,406
714,397
713,394
707,384
704,380
702,378
700,374
699,374
699,374
699,374
699,374
699,374
699,374
699,374
699,374
699,374
699,374
699,374
699,374
699,374
699,374
699,374
699,374
699,374
699,374
695,372
676,362
661,353
639,341
589,316
561,303
533,289
499,272
478,261
461,252
444,241
436,235
428,229
419,221
416,217
415,214
415,210
415,210
415,210
415,210
415,210
415,210
415,210
415,210
415,210
415,210
415,210
415,212
415,215
411,220
407,222
401,225
378,227
344,227
314,219
237,164
193,119
155,72
108,0
79,0
65,0
58,0
58,0
57,0
57,0
62,0
67,5
84,51
94,132
95,181
95,253
91,295
76,342
72,350
57,377
51,383
42,386
33,382
30,375
29,364
29,358
33,345
40,343
56,341
88,348
108,361
126,376
149,397
154,403
162,413
178,437
181,445
184,455
191,476
194,487
196,499
197,522
197,526
194,533
182,544
175,544
167,544
145,532
133,525
120,516
107,509
83,494
73,488
63,481
37,454
29,439
19,416
13,391
5,320
5,284
5,248
20,205
33,184
45,172
73,165
81,168
96,192
109,269
110,328
110,388
103,470
92,516
78,554
56,597
50,605
40,618
30,628
10,637
0,637
0,629
0,594
0,566
0,535
0,456
0,420
0,388
8,353
15,334
23,319
41,291
60,269
72,255
95,233
108,225
120,222
137,222
161,255
168,291
173,377
168,479
152,539
140,561
120,604
90,642
73,658
59,667
37,671
22,668
13,653
0,579
0,527
0,426
7,273
18,234
37,162
59,98
107,0
113,0
146,-26
187,-64
204,-72
208,-74
224,-80
230,-82
236,-83
239,-84
243,-84
246,-83
248,-80
249,-76
250,-74
250,-72
251,-70
251,-70
251,-70
251,-70
251,-70
251,-70
251,-70
251,-70
251,-70
251,-70
251,-64
251,-64
251,-64
251,-64
251,-64
251,-64
251,-64
251,-64
251,-64
251,-64
251,-64
251,-64
251,-64
250,-64
242,-58
232,-50
207,-28
176,-1
139,35
48,133
5,192
0,248
0,316
0,356
0,370
0,407
0,423
0,428
0,448
1,451
6,452
21,452
32,452
45,452
71,453
77,453
88,454
107,455
114,455
126,452
133,448
149,438
153,436
168,427
173,424
175,422
181,414
181,411
181,407
175,400
173,399
170,397
165,394
163,393
161,393
160,392
159,391
158,390
157,388
156,378
156,371
156,362
160,343
166,334
172,327
175,324
189,313
195,309
207,304
211,301
218,296
221,293
223,290
224,287
225,280
225,277
225,274
225,269
225,267
224,265
222,259
221,257
220,254
218,250
217,248
216,247
215,245
215,244
215,243
214,243
214,242
214,242
214,241
214,241
214,240
215,240
217,240
218,240
219,240
222,240
223,240
225,240
227,240
228,240
229,240
230,240
230,240
230,240
231,239
231,239
231,239
231,237
231,236
231,236
230,234
229,233
229,233
229,232
228,231
228,231
228,231
228,230
228,230
228,230
228,230
228,230
228,230
228,230
228,230
228,230
228,230
228,230
228,230
228,230
228,230
228,230
228,230
228,230
228,230
228,230
228,230
228,230
228,230
228,230
228,230
228,230
228,230
228,230
228,230
228,230
228,230
228,230
228,230
228,230
228,230
228,230
228,230
228,230
228,230
228,230
228,230
228,230
228,230
228,230
228,230
228,230
228,230
228,230
228,230
228,230
228,230
228,230
228,230
228,230
228,230
228,230
228,230
228,230
228,230
228,230
228,230
228,232
228,240
228,250
229,272
229,282
229,307
229,341
226,363
222,385
214,422
209,436
205,449
198,463
194,469
191,471
183,478
181,479
178,479
175,477
171,472
168,465
162,444
159,421
156,402
156,375
156,360
156,345
158,327
165,311
168,307
181,292
187,288
193,284
201,279
204,278
207,276
210,274
211,274
211,274
212,274
212,274
212,274
212,273
212,273
212,273
212,271
212,270
211,269
211,267
210,266
210,264
209,260
209,258
209,255
209,249
209,246
209,243
209,238
209,236
209,233
209,229
209,229
210,228
210,226
211,226
211,226
212,226
213,226
213,226
215,226
215,226
215,226
216,226
216,226
216,227
217,227
217,227
217,227
217,227
217,228
218,228
219,228
219,229
219,229
220,229
220,229
220,229
221,229
221,229
221,229
221,229
221,229
222,229
