X,Y
744,472
744,472
744,472
744,472
744,472
744,472
744,472
744,472
744,472
744,472
744,472
744,472
744,472
744,472
744,472
744,472
744,472
744,472
744,472
744,472
744,472
744,472
744,472
744,472
744,472
744,472
744,472
744,472
744,472
744,472
744,472
744,472
744,472
744,472
745,472
749,470
754,468
759,466
786,459
802,455
820,450
841,444
868,434
886,427
900,420
918,410
928,403
934,398
941,392
943,389
945,387
946,385
946,385
946,384
946,384
945,384
945,384
943,383
942,383
941,383
940,382
939,381
938,381
937,381
936,380
935,380
934,379
931,378
928,377
925,376
913,372
905,369
893,366
855,356
835,352
814,349
770,346
746,346
723,346
692,347
672,351
654,356
638,362
619,371
608,376
599,381
586,388
581,392
580,393
580,393
580,393
580,393
580,393
580,393
580,393
580,393
580,393
580,393
580,393
580,393
580,393
580,393
580,393
580,393
580,393
585,383
588,379
591,374
601,356
612,334
619,318
637,276
647,253
657,230
666,206
679,172
687,153
694,137
703,117
708,107
712,100
715,94
717,90
718,88
720,86
720,85
720,85
721,85
721,85
721,85
718,91
711,101
701,114
674,151
640,192
615,227
556,310
521,362
488,415
422,525
391,576
379,596
334,671
326,684
312,708
298,730
295,734
291,742
285,750
284,752
283,753
283,753
282,753
282,753
282,753
282,753
282,753
282,752
282,751
282,749
282,749
282,749
282,749
282,749
282,749
282,749
282,749
282,749
282,749
282,749
282,749
282,749
282,749
282,749
282,749
282,749
282,749
282,749
282,749
282,749
282,749
282,749
282,749
282,749
282,749
282,749
282,749
282,749
282,749
282,749
282,749
282,749
282,749
282,749
282,749
282,749
282,749
282,749
282,749
282,749
282,749
282,749
282,749
282,749
282,749
282,749
282,749
282,749
282,749
282,749
282,749
282,749
282,749
282,749
282,749
282,749
282,749
282,749
282,749
282,749
282,749
282,749
282,749
282,749
282,749
282,749
282,749
282,749
282,749
282,749
282,749
282,749
282,749
282,749
282,749
282,749
282,749
282,749
282,749
282,749
282,749
282,749
282,749
282,749
282,749
282,749
282,749
282,749
282,749
282,749
282,749
282,757
282,766
282,776
277,821
273,848
267,878
247,940
235,969
223,981
207,981
185,981
172,981
154,981
144,981
137,981
130,981
124,981
121,981
114,976
112,969
110,959
108,941
108,885
112,853
124,814
158,726
182,680
209,635
255,575
287,542
319,513
387,470
419,455
452,446
510,438
539,438
564,438
597,449
616,456
634,464
662,475
668,477
678,480
695,485
702,488
706,490
711,493
713,495
713,497
706,500
692,501
692,501
692,501
692,501
692,501
692,501
692,501
692,501
692,501
692,501
692,501
692,501
692,501
692,501
692,500
697,494
705,488
739,465
772,445
817,422
924,376
981,356
1036,339
1104,325
1120,322
1152,318
1186,315
1202,314
1206,314
1219,314
1223,314
1223,314
1223,314
1223,314
1223,314
1223,314
1223,314
1223,314
1223,314
1223,314
1223,314
1223,314
1223,314
1223,314
1223,314
1223,314
1223,314
1225,313
1228,312
1237,310
1242,309
1248,307
1263,304
1273,302
1281,301
1294,299
1300,298
1304,298
1306,298
1316,297
1318,297
1321,296
1326,296
1328,295
1330,295
1333,294
1334,294
1335,294
1336,293
1336,293
1337,293
1337,293
1337,293
1337,293
1337,293
1337,293
1338,293
1338,293
1338,293
1338,293
1339,293
1339,293
1339,293
1339,293
1339,293
1339,293
1339,293
1339,293
1339,293
1339,293
1339,293
1339,293
1339,293
1339,293
1339,293
1339,292
1339,292
1339,292
1340,292
1340,292
1340,292
1340,292
1340,292
1340,292
1340,292
1340,292
1341,291
1341,291
1341,291
1342,291
1342,290
1342,290
1343,290
1343,290
1343,290
1344,289
1344,289
1344,289
1344,289
1344,289
1344,289
1344,289
1344,289
1344,289
1344,289
1344,289
1344,289
1344,289
1344,289
1344,289
1344,289
1344,289
1344,289
1344,289
1344,289
1344,289
1344,289
1344,289
1344,289
1344,289
1344,289
1344,289
1344,289
1344,289
1344,289
1344,289
1344,289
1344,289
1344,289
1344,289
1344,289
1344,289
1344,289
1344,289
1344,289
1344,289
1344,289
1344,289
1344,289
1344,289
1344,289
1344,289
