X,Y
1102,-50
1102,-50
1102,-50
1102,-50
1102,-50
1102,-50
1102,-50
1102,-50
1102,-50
1102,-50
1102,-50
1102,-50
1102,-50
1102,-50
1102,-50
1102,-50
1102,-50
1102,-50
1102,-50
1102,-50
1102,-50
1102,-50
1102,-50
1102,-50
1102,-50
1102,-50
1102,-50
1102,-50
1102,-50
1102,-50
1102,-50
1102,-50
1102,-50
1102,-50
1102,-50
1102,-50
1102,-50
1102,-50
1102,-50
1102,-50
1102,-50
1102,-50
1102,-50
1102,-50
1102,-50
1102,-50
1102,-50
1102,-50
1102,-50
1102,-50
1102,-50
1102,-50
1102,-50
1102,-50
1102,-50
1102,-50
1102,-50
1102,-50
1102,-50
1102,-50
1102,-50
1102,-50
1102,-50
1102,-50
1102,-50
1102,-50
1102,-50
1102,-50
1102,-50
1102,-50
1102,-50
1102,-50
1102,-53
1102,-64
1102,-73
1102,-83
1104,-113
1106,-143
1108,-191
1109,-218
1110,-246
1113,-307
1117,-337
1120,-367
1125,-406
1128,-427
1131,-446
1134,-465
1135,-469
1136,-476
1137,-484
1137,-486
1137,-488
1137,-488
1137,-489
1137,-489
1137,-489
1134,-490
1131,-491
1128,-492
1115,-496
1108,-498
1099,-499
1075,-504
1063,-506
1050,-509
1031,-513
1021,-516
1013,-518
1005,-521
997,-524
993,-525
987,-527
987,-527
987,-527
987,-527
987,-527
987,-527
987,-527
987,-527
987,-527
987,-527
987,-527
987,-527
987,-527
987,-527
987,-527
987,-527
987,-527
987,-527
986,-527
979,-527
956,-530
930,-536
859,-559
839,-567
803,-584
758,-602
734,-612
726,-614
699,-621
690,-621
676,-621
676,-621
676,-621
676,-621
676,-621
676,-621
676,-621
676,-621
676,-621
676,-621
676,-621
676,-621
676,-621
676,-621
676,-621
676,-621
676,-621
676,-621
676,-621
673,-621
670,-621
663,-621
657,-621
639,-622
624,-628
589,-651
570,-667
553,-686
519,-730
506,-751
500,-761
487,-782
483,-787
479,-793
472,-801
472,-801
472,-801
472,-801
472,-801
472,-801
472,-801
472,-801
472,-801
472,-801
472,-801
472,-801
472,-801
472,-801
471,-802
467,-805
464,-809
458,-815
456,-818
454,-821
450,-825
449,-827
447,-831
443,-836
442,-838
441,-839
440,-842
440,-843
439,-844
438,-846
438,-846
438,-847
438,-848
438,-848
437,-848
437,-848
437,-848
437,-848
437,-848
437,-848
437,-849
437,-849
436,-851
436,-852
435,-852
433,-854
433,-855
431,-856
431,-856
430,-856
430,-857
430,-857
430,-857
430,-857
430,-857
430,-857
430,-857
430,-857
430,-857
430,-857
430,-857
430,-857
430,-857
430,-857
430,-857
430,-857
430,-857
430,-857
430,-857
430,-857
430,-857
430,-857
430,-857
430,-857
430,-857
430,-857
430,-857
430,-857
430,-857
430,-857
430,-857
430,-857
430,-857
430,-857
430,-857
430,-857
430,-857
430,-857
430,-857
430,-857
430,-857
