X,Y
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,936
756,935
756,930
756,927
756,920
755,906
755,898
755,893
754,877
754,870
754,864
754,855
754,851
754,847
754,843
754,836
754,832
754,824
754,820
753,816
753,807
753,803
753,798
753,792
752,754
751,716
751,701
750,681
749,671
749,661
749,650
749,645
749,642
749,636
749,634
749,633
749,633
749,633
749,633
749,633
749,633
749,633
749,633
749,633
749,633
749,633
749,633
749,633
749,633
749,633
749,633
749,633
749,633
749,633
749,633
749,633
749,632
749,630
746,622
746,622
735,600
714,558
700,531
687,503
668,464
658,444
655,438
643,414
639,407
636,400
636,400
636,400
636,400
636,400
636,400
636,400
636,400
636,400
636,400
636,400
636,400
636,400
636,400
636,400
636,400
636,400
636,400
635,400
632,397
626,393
606,383
586,370
560,354
503,317
475,298
464,291
438,272
425,263
421,260
408,251
405,250
401,249
401,249
401,249
401,249
401,249
401,249
401,249
401,249
401,249
401,249
401,249
401,249
401,249
401,249
400,249
392,249
387,249
381,249
368,249
355,249
342,249
316,248
310,248
300,248
282,247
276,247
273,247
268,247
261,247
259,247
257,247
255,247
254,246
252,246
251,246
251,245
249,245
248,244
248,244
248,244
246,243
246,242
245,241
243,239
242,238
241,236
239,234
239,233
238,232
237,232
236,231
235,230
234,230
233,229
232,229
232,229
230,228
230,228
229,228
228,228
228,228
227,227
227,227
227,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
226,227
