X,Y
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,933
756,932
756,923
756,917
756,908
756,869
756,846
756,819
756,755
756,721
756,685
756,610
756,574
756,542
757,502
758,481
758,474
758,455
758,446
758,434
758,434
758,434
758,434
758,434
758,434
758,434
758,434
758,434
758,434
758,434
758,434
758,434
758,434
758,434
758,434
754,433
737,427
704,415
671,403
585,374
563,368
522,356
450,334
437,329
414,319
396,311
386,306
379,303
375,301
370,299
370,299
370,299
370,299
370,299
370,299
370,299
370,299
370,299
370,299
370,299
369,299
365,297
352,287
344,282
336,278
323,272
318,270
313,268
290,259
284,257
279,255
275,253
267,248
265,247
262,245
257,242
255,241
254,240
253,240
252,240
251,240
250,240
248,240
247,240
245,240
243,240
242,239
241,238
240,237
240,237
240,237
240,237
240,237
240,236
239,236
239,236
238,236
238,236
237,235
236,234
234,234
232,233
232,232
231,232
230,231
230,231
230,231
230,231
230,231
230,231
230,231
230,231
230,231
230,231
230,231
230,231
230,231
230,231
230,231
230,231
230,231
230,231
230,231
230,231
230,231
230,231
230,231
230,231
230,231
